Plant,Variety,Latin,SowBy,Spacing
Tomato,Gardener's Delight,Solanum lycopersicum,April,45cm
Tomato,San Marzano,Solanum lycopersicum,April,45cm
Carrot,Nantes 2,Daucus carota,July,5cm
Carrot,Purple Haze,Daucus carota,July,5cm
Lettuce,Little Gem,Lactuca sativa,August,20cm
Lettuce,Lollo Rossa,Lactuca sativa,August,20cm
Beetroot,Boltardy,Beta vulgaris,July,10cm
Radish,French Breakfast,Raphanus sativus,September,3cm
Pea,Kelvedon Wonder,Pisum sativum,June,8cm
Pea,Sugar Snap,Pisum sativum,June,8cm
Bean,Cobra,Phaseolus vulgaris,June,15cm
Bean,Scarlet Emperor,Phaseolus coccineus,June,20cm
Courgette,Defender,Cucurbita pepo,May,90cm
Pumpkin,Jack O'Lantern,Cucurbita pepo,May,120cm
Cucumber,Marketmore,Cucumis sativus,April,45cm
Pepper,California Wonder,Capsicum annuum,March,40cm
Chilli,Apache,Capsicum annuum,March,40cm
Spinach,Perpetual,Beta vulgaris,August,15cm
Kale,Cavolo Nero,Brassica oleracea,July,45cm
Broccoli,Calabrese,Brassica oleracea,July,30cm
Cabbage,Greyhound,Brassica oleracea,July,35cm
Onion,Bedfordshire Champion,Allium cepa,April,10cm
Leek,Musselburgh,Allium porrum,June,15cm
Basil,Sweet Genovese,Ocimum basilicum,June,20cm
Coriander,Calypso,Coriandrum sativum,August,10cm
Parsley,Flat-leaved,Petroselinum crispum,July,15cm
Sunflower,Russian Giant,Helianthus annuus,May,60cm
Nasturtium,Empress of India,Tropaeolum majus,June,30cm
